wallet,total_fee,token_diversity,defi_activity_count,mint_count,tokens_minted,spl_tokens_sent,avg_tx_value,max_tx_value,median_tx_value,avg_tx_interval,std_tx_interval,unique_destinations,dest_entropy,unique_tokens,spl_transfer_count,nft_transfer_count,mint_event_count,defi_program_count,fee_per_tx,activity_score,tx_count,avg_fee,total_sent_sol,avg_tx_size,fee_ratio,defi_ratio,mint_ratio,inv_avg_interval,cluster,behavior_label,pca1,pca2
Bcxv7jCiVCfdzgZghGQpZBDDNGxRBLgDthmu469jHrCX,25005,0,1,0,0,0,8.73322e-05,0.000314342,2.7856e-05,6.0,6.041522986797286,4,1.3321790402101223,0,0,0,0,0,5001.0,0.7142857142857143,5,5001.0,436661.0,87332.2,5001.0,0.2,0.0,0.16666666666666666,0,🟢 DeFi User,1.2357502797736966,0.9832668983285511
BdJWWJYThFXjpHPdceGEoacAh92fGhsYZFyBXupWjKKM,31400,0,1,0,0,0,1e-06,1e-06,1e-06,0.0,0.0,1,0.0,0,0,0,0,0,31400.0,1.0,1,31400.0,1000.0,1000.0,31400.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.32313738339623543,-0.4355280777709543
BduZRfiSHbG6BW8wFdUvj3dSmvaX8LJNArEdrh4WBquU,2010000,0,1,0,0,0,0.0018094205,0.002618841,0.0018094205,0.0,0.0,2,0.6931471805599453,0,0,0,0,0,1005000.0,2.0,2,1005000.0,3618841.0,1809420.5,1005000.0,0.5,0.0,0.0,0,🟢 DeFi User,0.5397563318463553,0.7979928760780488
Be5YMKBcGXMe6FCuXvWZMNj1Mnfz1iAiHGwwe1vDPQ6h,5000,0,1,0,0,0,0.000892876,0.000892876,0.000892876,0.0,0.0,1,0.0,0,0,0,0,0,5000.0,1.0,1,5000.0,892876.0,892876.0,5000.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.323583896709292,-0.4461616337824722
Be61yFitwY6m79HRZ2aqKtKEwnEK7XeVquWNEvMY3noa,5000,0,1,0,0,0,0.000892876,0.000892876,0.000892876,0.0,0.0,1,0.0,0,0,0,0,0,5000.0,1.0,1,5000.0,892876.0,892876.0,5000.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.323583896709292,-0.4461616337824722
Bebkza9T4XjtALAY2BVggSUZciyHbW6yujvpVBJT5yzv,21200,0,1,0,0,0,1e-06,1e-06,1e-06,0.0,0.0,1,0.0,0,0,0,0,0,21200.0,1.0,1,21200.0,1000.0,1000.0,21200.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.3233099609941212,-0.4396393368062155
Bedcw2v8rTDLpXCPXxUHRpfxJR3Tf8WYEmosYQfEYBKU,36400,0,1,0,0,0,1e-06,1e-06,1e-06,0.0,0.0,1,0.0,0,0,0,0,0,36400.0,1.0,1,36400.0,1000.0,1000.0,36400.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.3230527865345268,-0.4335127547144538
BfC9dQpYn4nETrizpa6RmQBSrewkzPV32Tr6vLM2eLk9,5000,0,1,0,0,0,0.000892876,0.000892876,0.000892876,0.0,0.0,1,0.0,0,0,0,0,0,5000.0,1.0,1,5000.0,892876.0,892876.0,5000.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.323583896709292,-0.4461616337824722
BfTyjf3brDyR1cJYk2vrxWTyZUtkW5FQPJL3etfLgCHm,22000,1,1,0,0,H2c31U...:1,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,0,0,0,22000.0,1.0,1,22000.0,0.0,0.0,22000.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.33374886757828154,-0.5753566875076086
BfjSQGzsJGjePpcRmafQgm2zrZ9Q15WzhocC8NPtt2zm,5000,0,1,0,0,0,0.00055189,0.00055189,0.00055189,0.0,0.0,1,0.0,0,0,0,0,0,5000.0,1.0,1,5000.0,551890.0,551890.0,5000.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.3235839571611971,-0.44616444376272096
BfkBdoYZgBxkwqBfzJYSPo7wmS4CDtCdiTjrUES23bXm,40050,0,1,0,0,0,0.005993504,0.005993504,0.005993504,0.0,0.0,1,0.0,0,0,0,0,0,40050.0,1.0,1,40050.0,5993504.0,5993504.0,40050.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.3229899684408559,-0.43199218615816803
BfoDGrLRXq19UDvJhxGuwFXKL14DvZjnr4D3Wb7WTASh,90000,0,1,0,0,0,0.160843853,0.181237949,0.160843853,37.0,0.0,2,0.6931471805599453,0,0,0,0,0,45000.0,0.0526315789473684,2,45000.0,321687706.0,160843853.0,45000.0,0.5,0.0,0.02702702702702703,0,🟢 DeFi User,0.5179723537745441,0.4150518465092422
BgAiztS1U84s4gbGAtSfq3NWFei6LkC4LxbXa66m5DAC,36400,0,1,0,0,0,1e-06,1e-06,1e-06,0.0,0.0,1,0.0,0,0,0,0,0,36400.0,1.0,1,36400.0,1000.0,1000.0,36400.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.3230527865345268,-0.4335127547144538
BgN9MC5HeC235HDiKhiHKXFj8vs6VXuK44ggjKguSV2r,5000,0,1,0,0,0,0.000892876,0.000892876,0.000892876,0.0,0.0,1,0.0,0,0,0,0,0,5000.0,1.0,1,5000.0,892876.0,892876.0,5000.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.323583896709292,-0.4461616337824722
BgSDVVtFXTdSDNpj6Qza4e1xoAYWaZEd3b8RMM15uQkB,12000,0,1,0,0,0,2.104224255,4.20794851,2.104224255,0.0,0.0,2,0.6931471805599453,0,0,0,0,0,6000.0,2.0,2,6000.0,4208448510.0,2104224255.0,6000.0,0.5,0.0,0.0,0,🐋 Whale,0.5238944368577627,0.42208999490783766
Bgkw6hyaKQtjVyEBbWxTnu3F7oNryShvFGdg9X29ktwA,22000,1,1,0,0,9BB6NF...:1,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,0,0,0,22000.0,1.0,1,22000.0,0.0,0.0,22000.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.33374886757828154,-0.5753566875076086
BgmAJ6WdmFtg9wJBx71MK237rHudDXNMPmdTUMYNXzvf,5000,0,1,0,0,0,0.000892876,0.000892876,0.000892876,0.0,0.0,1,0.0,0,0,0,0,0,5000.0,1.0,1,5000.0,892876.0,892876.0,5000.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.323583896709292,-0.4461616337824722
Bh4Ft1a4gYbwAwwxbgpGxgYp91HkuPuWrktH3foQccHT,15000,1,1,0,0,5z3EqY...:12255840967800,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,0,0,0,15000.0,1.0,1,15000.0,0.0,0.0,15000.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.33386730318467367,-0.5781781397867094
Bh6BfSM1GZEpHaRY2MaPjP3bbgZdh1DbvDW9r1jJTpMv,36400,0,1,0,0,0,1e-06,1e-06,1e-06,0.0,0.0,1,0.0,0,0,0,0,0,36400.0,1.0,1,36400.0,1000.0,1000.0,36400.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.3230527865345268,-0.4335127547144538
Bhe3iU5jBX9HXdurQm4DxndKhrdx19W4Hb5tWc6S4wqu,51667,0,1,0,0,0,0.000124605,0.000124605,0.000124605,0.0,0.0,1,0.0,0,0,0,0,0,51667.0,1.0,1,51667.0,124605.0,124605.0,51667.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.32279445656359984,-0.4273581486958786
BhywGxbA9ktsrzky67XNkJmcqqxVaLVTaz8eA9L8bBh9,15000,0,1,0,0,0,0.000541333,0.000972301,0.000381441,11.0,11.0,3,1.0986122886681096,0,0,0,0,0,5000.0,0.25,3,5000.0,1623999.0,541333.0,5000.0,0.3333333333333333,0.0,0.09090909090909091,0,🟢 DeFi User,0.9399082954959452,0.7451651348325254
BhzmY8QKWC9x4ACX6fSWDct3rkmYrV6oPEVKfNBJeK3U,5000,0,1,0,0,0,0.00685952,0.00685952,0.00685952,0.0,0.0,1,0.0,0,0,0,0,0,5000.0,1.0,1,5000.0,6859520.0,6859520.0,5000.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.3235828389092739,-0.44611246416321704
Bi5KBVtaNC28EoqEaCEaEkZU8UrQmBkPYVKWrtubTu9t,5000,0,1,0,0,0,0.000892876,0.000892876,0.000892876,0.0,0.0,1,0.0,0,0,0,0,0,5000.0,1.0,1,5000.0,892876.0,892876.0,5000.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.323583896709292,-0.4461616337824722
Bic2wWp3z3zQaC8zkCasXteSGbcLk4A9y5mkr9cRqbCB,5000,0,1,0,0,0,9e-05,9e-05,9e-05,0.0,0.0,1,0.0,0,0,0,0,0,5000.0,1.0,1,5000.0,90000.0,90000.0,5000.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.32358403904763955,-0.4461682500825614
Biw4eeaiYYYq6xSqEd7GzdwsrrndxA8mqdxfAtG3PTUU,4134784,0,1,0,0,0,1.0192975,2.0,1.0192975,7.0,0.0,2,0.6931471805599453,0,0,0,0,0,2067392.0,0.25,2,2067392.0,2038595000.0,1019297500.0,2067392.0,0.5,0.0,0.14285714285714285,0,🐋 Whale,0.5842933711315897,1.2367805735069084
Bj39rv34QuBdYzd2g6962Nxt24brxDwheEZENoui8xRK,100000,0,1,0,0,0,0.014,0.014,0.014,0.0,0.0,1,0.0,0,0,0,0,0,100000.0,1.0,1,100000.0,14000000.0,14000000.0,100000.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.32197423263257996,-0.40776248318188435
BjHSGXezoKvQouD4hfPqLDEq9wFFigdfdSvaZEr1FBQu,100000,0,1,0,0,0,0.014,0.014,0.014,0.0,0.0,1,0.0,0,0,0,0,0,100000.0,1.0,1,100000.0,14000000.0,14000000.0,100000.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.32197423263257996,-0.40776248318188435
BjVud9bEKeUVYnqfKxAA181HCCYxAMybvzQrPojNEav1,5000,0,1,0,0,0,0.000892876,0.000892876,0.000892876,0.0,0.0,1,0.0,0,0,0,0,0,5000.0,1.0,1,5000.0,892876.0,892876.0,5000.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.323583896709292,-0.4461616337824722
BjWG4ArzXd38nboqCtf6VEWcn82GBS1cYsFwxjA1QiCh,110000,0,1,0,0,0,0.141661858,0.141661858,0.141661858,0.0,0.0,1,0.0,0,0,0,0,0,110000.0,1.0,1,110000.0,141661858.0,141661858.0,110000.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.32178240630099947,-0.4026798076615191
BjgyEnsSzmnFXoGfMp5hbC2TKeBbdn7mg8e4z29qhFC7,5000,0,1,0,0,0,0.000892876,0.000892876,0.000892876,0.0,0.0,1,0.0,0,0,0,0,0,5000.0,1.0,1,5000.0,892876.0,892876.0,5000.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.323583896709292,-0.4461616337824722
BjqU71DrfihYBbDhmaYimgkXG3n1qEX69MFqFLiFV6qr,5000,0,1,0,0,0,5e-06,5e-06,5e-06,0.0,0.0,1,0.0,0,0,0,0,0,5000.0,1.0,1,5000.0,5000.0,5000.0,5000.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.32358405411691493,-0.4461689505462788
Bm6WXKM4CDcXwLK15rUGCk2gKNYPLPkcQvhBTyrFGSYE,40050,0,1,0,0,0,0.005993503,0.005993503,0.005993503,0.0,0.0,1,0.0,0,0,0,0,0,40050.0,1.0,1,40050.0,5993503.0,5993503.0,40050.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.3229899684410332,-0.43199218616640883
BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,2130000,0,1,0,0,0,57.4796849,171.1434417,1.184913,18.5,13.5,3,1.0986122886681096,0,0,0,0,0,710000.0,0.1538461538461538,3,710000.0,172439054700.0,57479684900.0,710000.0,0.3333333333333333,0.0,0.05405405405405406,0,🐋 Whale,0.9882458950492518,2.0202308721917275
BmTBTrirtmAERo2caYqJfE6S6vsZvhHzXt2bwXSzwRne,10000,0,1,0,0,0,0.0101,0.0101,0.0101,0.0,0.0,1,0.0,0,0,0,0,0,10000.0,1.0,1,10000.0,10100000.0,10100000.0,10000.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.32349766755714776,-0.4440704371223989
BmdUeDkmdkirko9fCuiXt5PmDTKvtRHcnw7DJYpjBBWa,2010000,0,1,0,0,0,0.001317293,0.001634586,0.001317293,0.0,0.0,2,0.6931471805599453,0,0,0,0,0,1005000.0,2.0,2,1005000.0,2634586.0,1317293.0,1005000.0,0.5,0.0,0.0,0,🟢 DeFi User,0.5397560882753962,0.7979866124829919
BmdfPL629QYdLZhrFbwQppdvHvmdWYS3MvaBvFX4xW4p,10000,0,1,0,0,0,0.0005975,0.001194,0.0005975,0.0,0.0,2,0.6931471805599453,0,0,0,0,0,5000.0,2.0,2,5000.0,1195000.0,597500.0,5000.0,0.5,0.0,0.0,0,🟢 DeFi User,0.5228363596831537,0.39491283995560345
BmdrjBiRLwHpuXcpWnPfjDJyT8AhMWC67NHRBd31U4tE,5000,0,1,0,0,0,0.000892876,0.000892876,0.000892876,0.0,0.0,1,0.0,0,0,0,0,0,5000.0,1.0,1,5000.0,892876.0,892876.0,5000.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.323583896709292,-0.4461616337824722
BmeETH2WmeugHHGvB5oxcJS5WMTZoFXju6WGJv15u4yL,22000,1,1,0,0,HgBRWf...:1,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,0,0,0,22000.0,1.0,1,22000.0,0.0,0.0,22000.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.33374886757828154,-0.5753566875076086
BmrLoL9jzYo4yiPUsFhYFU8hgE3CD3Npt8tgbqvneMyB,2010000,0,1,0,0,0,0.023280649,0.044561298,0.023280649,0.0,0.0,2,0.6931471805599453,0,0,0,0,0,1005000.0,2.0,2,1005000.0,46561298.0,23280649.0,1005000.0,0.5,0.0,0.0,0,🟢 DeFi User,0.5397669587016298,0.7982661529843362
BmtDEZd2sapcWHMsB8iUQk3UoNpiVhD8vdmpnWceeWrd,36400,0,1,0,0,0,1e-06,1e-06,1e-06,0.0,0.0,1,0.0,0,0,0,0,0,36400.0,1.0,1,36400.0,1000.0,1000.0,36400.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.3230527865345268,-0.4335127547144538
BmtSe4XtpBJcwCn4H6xnP2TfTQsyWu8ztvo6qJgYVtRZ,64000,0,1,0,0,0,0.149714004,0.149714004,0.149714004,0.0,0.0,1,0.0,0,0,0,0,0,64000.0,1.0,1,64000.0,149714004.0,149714004.0,64000.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.32255926989924305,-0.4211544240622622
BmtUnb86PZ1jChca2DRtgbdDjZM8zXn822ixi7GvBXZ2,5000,0,1,0,0,0,0.00201667,0.00201667,0.00201667,0.0,0.0,1,0.0,0,0,0,0,0,5000.0,1.0,1,5000.0,2016670.0,2016670.0,5000.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.3235836974768066,-0.4461523728774976
Bn8NgSevoBw8mSNRScXDsTAegMW6GJLSB6qMcApuNe44,6010000,0,1,0,0,0,0.0019752325,0.003,0.0019752325,0.0,0.0,2,0.6931471805599453,0,0,0,0,0,3005000.0,2.0,2,3005000.0,3950465.0,1975232.5,3005000.0,0.5,0.0,0.0,0,🟢 DeFi User,0.5735951585959329,1.6041242090647534
BnW1NsyN4omX8LWQU8Criyp2ox1RyKVD7rirGchQaE69,5000,0,1,0,0,0,0.000892876,0.000892876,0.000892876,0.0,0.0,1,0.0,0,0,0,0,0,5000.0,1.0,1,5000.0,892876.0,892876.0,5000.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.323583896709292,-0.4461616337824722
Bncp2uiNGU3RsjCtqMZRgfUtNYFiTKbQ9MrfrD9gcX7t,5000,0,1,0,0,0,0.000892876,0.000892876,0.000892876,0.0,0.0,1,0.0,0,0,0,0,0,5000.0,1.0,1,5000.0,892876.0,892876.0,5000.0,1.0,0.0,0.0,2,🟢 DeFi User,-0.323583896709292,-0.4461616337824722
