wallet,tx_count,total_sent_sol,avg_tx_value,median_tx_value,max_tx_value,avg_fee,total_fee,fee_ratio,avg_tx_interval,std_tx_interval,unique_destinations,dest_entropy,token_diversity,mint_count,mint_ratio,type_system_transfer,type_spl-token_transfer,type_system_createAccount,type_spl-token_closeAccount,type_spl-token_transferChecked,type_address-lookup-table_extendLookupTable,type_spl-associated-token-account_createIdempotent,type_spl-associated-token-account_create,type_unknown,type_system_advanceNonce,type_system_createAccountWithSeed,type_spl-token_burn,type_spl-token_approveChecked,type_address-lookup-table_createLookupTable,type_spl-token_approve
EmDRnQz93zC59jNJKQGnEDYwznsdTP4HNrxY5BxX5rec,1,0.000892876,0.000892876,0.000892876,0.000892876,5000.0,5000,5000.0,0.0,0.0,1,0.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7Feot1HxDELfTjaKHssjdNZQzrMpAzw1j4NHz9R1PszA,1,0.000892876,0.000892876,0.000892876,0.000892876,5000.0,5000,5000.0,0.0,0.0,1,0.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWjo5fhUrEhfeUSeTM4jxaA1feaW7nHnD1KD2HUzZUkp,1,1e-06,1e-06,1e-06,1e-06,15800.0,15800,15800.0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hdm1botxRp8bX1UZ83ButRMfBrspCpZudQpEeSk4s8u3,1,1e-06,1e-06,1e-06,1e-06,15800.0,15800,15800.0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J1BGJnefFbnsiScE5SmCjGw5Qcn9eX7xUDAFmAmvqbcz,40,0.04,0.001,0.001,0.001,5500.0,220000,5500.0,1.794871794871795,6.602949951384344,38,3.6064835324638285,0,0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6h84dmRD9DyG1gq9r2WHURvdZWkXZaV4vey71uyEyQrm,1,1e-06,1e-06,1e-06,1e-06,36400.0,36400,36400.0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2EANmsPRuttBjdjsPyRE2QEZyzATZsxrfyNRpDizyR5e,1,1e-06,1e-06,1e-06,1e-06,36400.0,36400,36400.0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRUXFkJwW213obiFpicbc8B1PqGboF7Ke1yEpn3o66Gf,1,1e-06,1e-06,1e-06,1e-06,36400.0,36400,36400.0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7zZY7Mw3cr9Kvp3VREGycRrVDXondXAKPfVUkSnVjNnb,1,1e-06,1e-06,1e-06,1e-06,36400.0,36400,36400.0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEYm3JzpPSgJxJGhL5c7nhvAXzNZwp3NjM3W92jNm5MT,1,1e-06,1e-06,1e-06,1e-06,36400.0,36400,36400.0,0.0,0.0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
