,Unnamed: 0,tx_count,total_sent,total_fee,avg_fee,anomaly
2818,DAvq8asizt1dUDxmsuYwj1VHUiqubqkobeNMPXnxbJ3P,1,900000000000,15000,15000.0,-1
2602,8yvHN3WMyVWe7BNFscUAJhwdW5M3AfdY7if7PofTUJjg,1,400010000000,505000,505000.0,-1
3192,J48PfrV9TFqA53ocqEuk37EJRCrfwc9Fos8GaWJThqZW,1,200000000000,1032605,1032605.0,-1
1565,GxKVSNu4p9Qnp5H9Ar5iMSWHQLcF7vouKXLvgAGBm6Sq,1,186367292159,1434543,1434543.0,-1
816,Rt6yjaXEgo7EgjRXhuiEWBtakqSBQ6fBBYLs2oKYQ3p,1,186366688159,605000,605000.0,-1
656,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,3,172439054700,2130000,710000.0,-1
29,5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,47,163122013220,184237000,3919936.170212766,-1
883,5VCwKtCXgCJ6kit5FybXjvriW3xELsFDhYrPSqtJNmcD,21,144458124140,84105000,4005000.0,-1
3822,HeBiD5qxwbaLXP9WxNtTca7hT9czsXwz2rbi4ugtmyzd,1,122000000000,15000,15000.0,-1
663,GJRs4FwHtemZ5ZE9x3FNvJ8TMwitKTh21yxdRPqn7npE,16,108504141877,3280000,205000.0,-1
4078,BTLG71P7eH7hxT4MMv1DUaSkH6G2aYp7hRKqocjeYrSy,2,99100000000,610000,305000.0,-1
2581,7c1C4P8pEfjMhkRZNvCwMSUHUPi9GsE7wYLVKEraTh8N,1,99000000000,105000,105000.0,-1
1920,DUnDqgnEAa1QMyQUEDVoTNt7hSF1gEkHsv8MFTcEWLEA,1,90000000000,1208430,1208430.0,-1
3775,PUmpKiNnSVAZ3w4KaFX6jKSjXUNHFShGkXbERo54xjb,1,77799235045,10200,10200.0,-1
3309,9B3iTjJbSwgBYNq9uRZyRdh6WD7ugnCDBJDczxtP7W1K,1,68843170528,5000,5000.0,-1
2627,EafZStLJA6HkaTbFmFVWdAcN1LMYnNj9oos6qmx1NRTA,2,53900090000,10000,5000.0,-1
3673,4YQGTJdHJZTHN42d5T6nSpGU3i3zkiQkgQukkngi1hG8,13,53327400000,1365000,105000.0,-1
669,3HvzU9NjPHGPJRiKjhWtzJj2tpUEYvnd5Gd9BQJ2CY14,18,51192942818,4941996,274555.3333333333,-1
4116,Dptu1Eo6jYDFihnRWVU2ZFan1ps4rAsxELkCcREn3Wzy,1,47265487238,986262,986262.0,-1
2361,Em5jJgESj3zbXLtcuE2qeTAkfjiE8dLXgbuPwd2ayPLy,1,40000000000,15000,15000.0,-1
3075,GggVnV9mgfps3jPGRLdPdjAAo8HQwePs3dupXLCMG3se,1,36613121631,505000,505000.0,-1
497,GSoJY1RJ2m4VGS6QagTNxfddxDTEE4wZxh75JxF4SZXb,1,36000000000,5000,5000.0,-1
532,AC7XEyKGiyScRSqzRwHxGL8tRTeJ1CEJ54ogdkP5xBA9,1,33576209983,10017,10017.0,-1
3543,3m66qaQxud4feHs5VpZbN97qrxfdtxWje1TQrxNncQTv,1,31371583121,15000,15000.0,-1
4474,6n2TK3X5igbMWuyKtVEwRKj6ZHqbcmy8xBKZk9RBad85,1,31000000000,964315,964315.0,-1
395,ASTyfSima4LLAdDgoFGkgqoKowG1LZFDr9fAQrg7iaJZ,8,29917574000,37546250,4693281.25,-1
515,83VrzzZBmRCfQmJuSHCP9pjjHp5hzYxBFPXV8ZssrcaP,1,28234375293,5030,5030.0,-1
4171,AtrQma83fa1mSyDyDmubkkcTiDJBcuWwCRYXnq8ijTiT,1,25000000000,15000,15000.0,-1
2707,J9UXE9QamN6x5Vu54FBu1YcQcYDZFQwpdTyATbmD6vQB,1,24947395200,605000,605000.0,-1
2356,88Z3YLwjDMbCp7vnduSNmnK92zPWfMxdzatWSkZiuNeK,1,22000000000,15000,15000.0,-1
3188,7ks326H4LbMVaUC8nW5FpC5EoAf5eK5pf4Dsx4HDQLpq,1,21795460165,4856996,4856996.0,-1
271,H8sMJSCQxfKiFTCfDR3DUMLPwcRbM61LGFJ8N4dK3WjS,11,20828506136,1861000,169181.81818181818,-1
1253,DQRDk2h7RgDnpJRddx6E1dnCgzWRLyMNa9viGxu7T91L,1,20000000000,210000,210000.0,-1
2501,HNPEazrxtkHvo9BkovCHL2SkbvQFcrRpJ2zwBvXEW8qm,1,20000000000,15000,15000.0,-1
3761,Cv6kFL79hWuvaqHNvQ5bnAF8WQPKoreMBL7Gin2fWzVU,1,19999999985,4010001,4010001.0,-1
1252,AC5RDfQFmDS1deWZos921JfqscXdByf8BKHs5ACWjtW2,12,17217845380,4920000,410000.0,-1
1654,FWznbcNXWQuHTawe9RxvQ2LdCENssh12dsznf4RiouN5,6,16844771240,630000,105000.0,-1
3000,23s4NnPnM38EuYr6wXBHmmn3J5eJWL9FYcuxS78f2qi3,3,15001825925,1570001,523333.6666666667,-1
4250,2m6HpACqiduFaaQobtBcfFLjdcRKpV7LuVs3XSdDd6T9,1,15000000000,1670572,1670572.0,-1
3645,5s4fyLGYUCDLwcH2EVCgT41JjU23ivoUHkmvsDCeUqVS,1,15000000000,15000,15000.0,-1
1116,2GPipRZKqMSnSVBNh95TFTFpgisEzbhmmGXmEwNMQW1m,1,13999889500,113502,113502.0,-1
4478,DQ5JWbJyWdJeyBxZuuyu36sUBud6L6wo3aN1QC1bRmsR,1,13907252900,105000,105000.0,-1
992,H7X4sEVSkkxxseoDDATRrEk8ASzJb1dKfHeg9euzZQGZ,42,13717499998,226800,5400.0,-1
