wallet,tx_count,total_fee,avg_fee,total_sent_sol,token_diversity,defi_activity_count,mint_count,tokens_minted,spl_tokens_sent,avg_tx_size,fee_ratio,defi_ratio,mint_ratio,cluster,pca1,pca2
2AFQxa9Jfo4YBgTEXX5yB5bZjv6CwL3CZU2tC4JRjXq1,1,5000,5000.0,2452328,0,1,0,0,0,2452328.0,0.0020388789754062263,1.0,0.0,0,-0.0722664576074053,0.41968290545266895
2qTjvZt3DhSBRKZaXVDchWZxnFzpGTcCem4jCzqLaayf,1,10050,10050.0,11606912,0,1,0,0,0,11606912.0,0.0008658633752026379,1.0,0.0,0,-0.07146397944344263,0.4188730612581454
ESoLFjrKxeeEgy8A3Xp9gGdFb5kHgBaqchcKL4piFHMC,1,10050,10050.0,6712744,0,1,0,0,0,6712744.0,0.0014971522822857539,1.0,0.0,0,-0.07188847716402139,0.41887079285348583
6dbbxXWQZAfBdwpbQKV8LxyXg7Ub6Mp2MHzXWYQcjGK1,1,5000,5000.0,0,0,1,0,0,0,0.0,5000.0,1.0,0.0,0,-0.07271886520688799,0.4212200145139265
Cgof2PgYEvsVFa1GUFSTuhDmCS9V8RKGG8exa1fjaSbs,1,5000,5000.0,124706577,0,1,0,0,0,124706577.0,4.00941162870664e-05,1.0,0.0,0,-0.061662684545144036,0.4197395734792301
2Lxmk9zmjkzegG4TdWSitthkTKjmmM4nC9RNQjJKuvnN,1,5100,5100.0,207385496,0,1,0,0,0,207385496.0,2.4591883706274233e-05,1.0,0.0,0,-0.05449132687528529,0.4197617771813744
4DkY5ypXjFrQmoUTtxfkHh6tjcgEYcnbStjZjBEEicZw,1,5000,5000.0,0,0,1,0,0,0,0.0,5000.0,1.0,0.0,0,-0.07271886520688799,0.4212200145139265
FtwBMCzPxDu93eyau5R6S9rn9Rn4o9uKzpBGWTLnQWPq,1,5000,5000.0,2034280,0,1,0,0,0,2034280.0,0.0024578720726743616,1.0,0.0,0,-0.07230271719407028,0.41968271180333977
8VVjSqzwFCLA4cQJHfFt1JripWPgeAjaYGqqg6pLTnJT,1,5000,5000.0,296217781,0,1,0,0,0,296217781.0,1.687947287674807e-05,1.0,0.0,0,-0.04678658916663102,0.41981907424208
DS5oKPptEizzwfwdYUtZbThRdtkZJbqnBW8SeBP7k3bC,1,5000,5000.0,0,0,1,0,0,0,0.0,5000.0,1.0,0.0,0,-0.07271886520688799,0.4212200145139265
